,prix,Cheval,Carburant,Boite_a_vitesse,Modele,Kilometrage,Age
0,45000,6,Diesel,Manuelle,Logan,120 000 - 129 999,14
1,118000,6,Diesel,Manuelle,Logan,50 000 - 54 999,4
2,79000,6,Diesel,Manuelle,Logan,140 000 - 149 999,6
3,115000,7,Diesel,Manuelle,Logan,120 000 - 129 999,5
4,90000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,7
5,135000,6,Diesel,Automatique,Duster,160 000 - 169 999,5
6,114000,6,Diesel,Manuelle,Dokker,140 000 - 149 999,5
7,52000,6,Diesel,Manuelle,Logan,300 000 - 349 999,17
8,95000,7,Diesel,Manuelle,Duster,170 000 - 179 999,10
9,185000,6,Diesel,Automatique,Duster,40 000 - 44 999,3
10,125000,6,Diesel,Manuelle,Logan,25 000 - 29 999,1
11,148000,6,Diesel,Manuelle,Dokker,55 000 - 59 999,4
12,140000,6,Diesel,Manuelle,Dokker,85 000 - 89 999,4
13,75000,6,Diesel,Manuelle,Logan,0 - 4 999,5
14,102000,6,Diesel,Manuelle,Duster,200 000 - 249 999,11
15,33000,6,Diesel,Manuelle,Logan,190 000 - 199 999,15
16,70000,7,Diesel,Manuelle,Dokker,10 000 - 14 999,8
17,127000,6,Diesel,Manuelle,Duster,95 000 - 99 999,6
18,138000,6,Diesel,Automatique,Duster,75 000 - 79 999,4
19,58000,6,Diesel,Manuelle,Logan,130 000 - 139 999,14
20,48000,6,Diesel,Manuelle,Logan,190 000 - 199 999,15
21,55000,6,Diesel,Manuelle,Logan,120 000 - 129 999,11
22,105000,5,Diesel,Manuelle,Dokker,120 000 - 129 999,5
23,72000,6,Diesel,Manuelle,Logan,160 000 - 169 999,8
24,128000,6,Diesel,Manuelle,Duster,120 000 - 129 999,5
25,48000,8,Essence,Manuelle,Logan,0 - 4 999,14
26,49000,8,Essence,Manuelle,Logan,200 000 - 249 999,17
27,115000,6,Diesel,Manuelle,Logan,120 000 - 129 999,5
28,87000,6,Diesel,Manuelle,Logan,90 000 - 94 999,8
29,117000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,4
30,122000,6,Diesel,Manuelle,Dokker,80 000 - 84 999,3
31,115000,6,Diesel,Manuelle,Logan,60 000 - 64 999,2
32,118000,6,Diesel,Manuelle,Dokker,40 000 - 44 999,5
33,155000,6,Diesel,Manuelle,Duster,80 000 - 84 999,4
34,89000,6,Diesel,Manuelle,Dokker,250 000 - 299 999,4
35,123000,6,Diesel,Manuelle,Logan,45 000 - 49 999,2
36,125000,6,Diesel,Manuelle,Dokker,60 000 - 64 999,3
37,100000,6,Diesel,Manuelle,Logan,100 000 - 109 999,5
38,44000,8,Essence,Manuelle,Logan,200 000 - 249 999,15
39,196000,6,Diesel,Automatique,Duster,30 000 - 34 999,1
40,107000,6,Diesel,Manuelle,Dokker,140 000 - 149 999,6
41,128000,6,Diesel,Manuelle,Dokker,45 000 - 49 999,2
42,175000,6,Diesel,Automatique,Duster,90 000 - 94 999,4
43,125000,6,Diesel,Manuelle,Duster,60 000 - 64 999,5
44,62000,8,Essence,Manuelle,Logan,30 000 - 34 999,12
45,178000,6,Diesel,Automatique,Duster,75 000 - 79 999,2
46,110000,7,Diesel,Manuelle,Duster,100 000 - 109 999,8
47,165000,6,Diesel,Manuelle,Duster,65 000 - 69 999,4
48,85000,6,Hybride,Manuelle,Logan,5 000 - 9 999,6
49,65000,7,Diesel,Manuelle,Logan,190 000 - 199 999,11
50,90000,6,Diesel,Manuelle,Dokker,250 000 - 299 999,8
51,79000,6,Diesel,Manuelle,Logan,200 000 - 249 999,8
52,128000,6,Diesel,Manuelle,Dokker,55 000 - 59 999,2
53,120000,6,Diesel,Manuelle,Duster,140 000 - 149 999,7
54,150000,6,Diesel,Manuelle,Logan,10 000 - 14 999,2
55,117000,6,Diesel,Manuelle,Duster,200 000 - 249 999,9
56,167000,6,Diesel,Manuelle,Duster,20 000 - 24 999,5
57,93000,6,Diesel,Manuelle,Logan,100 000 - 109 999,7
58,88000,6,Diesel,Manuelle,Logan,170 000 - 179 999,6
59,152000,6,Diesel,Manuelle,Duster,60 000 - 64 999,5
60,115000,6,Diesel,Manuelle,Dokker,140 000 - 149 999,4
61,115000,7,Diesel,Manuelle,Dokker,120 000 - 129 999,5
62,113000,6,Diesel,Manuelle,Dokker,150 000 - 159 999,5
63,115000,6,Diesel,Manuelle,Logan,45 000 - 49 999,3
64,122000,6,Diesel,Manuelle,Duster,100 000 - 109 999,10
65,76000,6,Diesel,Manuelle,Dokker,160 000 - 169 999,7
66,158000,6,Diesel,Manuelle,Logan,5 000 - 9 999,1
67,82000,6,Diesel,Manuelle,Logan,95 000 - 99 999,5
68,105000,6,Diesel,Manuelle,Duster,180 000 - 189 999,8
69,95000,6,Diesel,Manuelle,Logan,25 000 - 29 999,7
70,175000,6,Diesel,Automatique,Duster,85 000 - 89 999,4
71,93000,7,Diesel,Manuelle,Dokker,170 000 - 179 999,10
72,135000,6,Diesel,Manuelle,Dokker,40 000 - 44 999,2
73,115000,6,Diesel,Manuelle,Duster,170 000 - 179 999,9
74,115000,6,Diesel,Manuelle,Dokker,60 000 - 64 999,4
75,118000,6,Diesel,Manuelle,Duster,80 000 - 84 999,8
76,112000,6,Diesel,Manuelle,Dokker,60 000 - 64 999,3
